KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
ACSS1	ACLY	ABAT
ACSS2	ACO1	ACY3
ALDOA	ACO2	ADSL
ALDOB	CS	ADSS1
ALDOC	DLAT	ADSS2
DLAT	DLD	AGXT
DLD	DLST	AGXT2
ENO1	FH	ALDH4A1
ENO2	IDH1	ALDH5A1
ENO3	IDH2	ASL
GAPDH	MDH1	ASNS
GCK	MDH2	ASPA
GPI	OGDH	ASS1
GPI	OGDHL	CAD
HK1	PC	CPS1
HK2	PCK1	GAD1
HK3	PCK2	GAD2
LDHA	PCK2	GFPT1
LDHA	PDHA1	GFPT2
LDHB	PDHA2	GLS
LDHC	PDHB	GLS2
PCK1	SDHA	GLUD1
PCK2	SDHB	GLUD2
PCK2	SDHC	GLUD2
PDHA1	SDHD	GLUL
PDHA2	SUCLA2	GOT1
PDHB	SUCLG1	GOT2
PFKL	SUCLG2	GPT
PFKM		GPT2
PFKP		PPAT
PGAM1		
PGAM2		
PGK1		
PGM1		
PGM2		
PKM		
TPI1		
