"original_name","name_to_plot","short_comp","timepoint","timenum","condition"
"A_T0_endo-1","sgLDHA_T0_endo-1","endo","T0",0,"sgLDHA"
"A_T0_endo-2","sgLDHA_T0_endo-2","endo","T0",0,"sgLDHA"
"Cont_T0_endo-1","Cont_T0_endo-1","endo","T0",0,"sgCont"
"Cont_T0_endo-2","Cont_T0_cell_endo-2","endo","T0",0,"sgCont"
"A_T24_endo-1","A_T24_cell_endo-1","endo","T24",24,"sgLDHA"
"A_T24_endo-2","A_T24_cell_endo-2","endo","T24",24,"sgLDHA"
"Cont_T24_endo-1","Cont_T24_cell_endo-1","endo","T24",24,"sgCont"
"Cont_T24_endo-2","Cont_T24_cell_endo-2","endo","T24",24,"sgCont"
"A_T0_exo-1","sgLDHA_T0_exo-1","exo","T0",0,"sgLDHA"
"A_T0_exo-2","sgLDHA_T0_exo-2","exo","T0",0,"sgLDHA"
"Cont_T0_exo-1","Cont_T0_exo-1","exo","T0",0,"sgCont"
"Cont_T0_exo-2","Cont_T0_cell_exo-2","exo","T0",0,"sgCont"
"A_T24_exo-1","A_T24_cell_exo-1","exo","T24",24,"sgLDHA"
"A_T24_exo-2","A_T24_cell_exo-2","exo","T24",24,"sgLDHA"
"Cont_T24_exo-1","Cont_T24_cell_exo-1","exo","T24",24,"sgCont"
"Cont_T24_exo-2","Cont_T24_cell_exo-2","exo","T24",24,"sgCont"
