ensembl_gene_id_version	entrezgene_id	description	external_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000074410.14	771	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	CA12	2378.06791507672	1.96371	0.0392270433834774	-50.0602028102257	0	0
ENSG00000104419.14	10397	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	NDRG1	1207.8123976863	3.36174	0.0734563917957853	-45.7651142230766	0	0
ENSG00000106366.8	5054	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	SERPINE1	365.477202159904	3.52148	0.0760692725277892	-46.2930902685905	0	0
ENSG00000146674.15	3486	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	IGFBP3	3529.12104432455	3.18083	0.0617978669004978	-51.4714396258542	0	0
ENSG00000187134.14	1645	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	AKR1C1	443.427622017054	-3.23915	0.0824334553403922	39.2941647498611	0	0
ENSG00000131016.17	9590	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	AKAP12	607.926682031942	3.82623	0.107670441160777	-35.5365399137309	1.34112395164873e-276	4.88012653939114e-273
ENSG00000114268.12	5210	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	PFKFB4	402.292432573652	1.82146	0.0538493410556369	-33.8250284617323	8.45466729826134e-251	2.63701073032771e-247
ENSG00000189060.5	3005	H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]	H1F0	1532.32380541613	1.25022	0.0400793327629562	-31.1936728390291	1.29820235795533e-213	3.54295651015484e-210
ENSG00000151632.17	1646	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	AKR1C2	204.74166192855	-4.64867	0.149065744749944	31.1853998887745	1.68080810695949e-213	4.0774537110274e-210
ENSG00000134333.14	3939	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	LDHA	3771.32677974694	-1.86653	0.0606732133247593	30.7635886365231	8.04724202616045e-208	1.75695435157161e-204
ENSG00000179776.19	1003	cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]	CDH5	222.478985029983	2.9196	0.095191189946672	-30.6708854746898	1.39201986199816e-206	2.76290633154598e-203
ENSG00000172020.12	2596	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	GAP43	566.205860669733	2.35046	0.0770784522135884	-30.4943577170911	3.09574055996532e-204	5.6324419704769e-201
ENSG00000150938.10	51232	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	CRIM1	1734.16892611239	1.13746	0.0381749558293466	-29.7960527815613	4.39479968950165e-195	7.38089704776073e-192
ENSG00000134531.10	2012	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	EMP1	375.46164776571	1.61296	0.0575179876836059	-28.0426491956364	4.91036672196159e-173	7.65771690289909e-170
ENSG00000111674.9	2026	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	ENO2	2250.15247155437	1.16835	0.0420960215606674	-27.7543651158701	1.54343544542693e-169	2.24652173866708e-166
ENSG00000133401.16	23037	PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18486]	PDZD2	480.010087556201	1.21514	0.044955607299727	-27.0297303251208	6.61239843606891e-161	9.02303094091828e-158
ENSG00000130164.13	3949	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	LDLR	1207.53462658204	1.18284	0.0442560511048472	-26.7271878630098	2.27437746436909e-157	2.92096959879825e-154
ENSG00000171617.14	8507	ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]	ENC1	2731.63826519262	1.01155	0.0385054948022787	-26.2704043726162	4.17946418829932e-152	5.06945786795217e-149
ENSG00000131389.17	6533	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	SLC6A6	133.559448323289	4.96709	0.194630072956315	-25.5206454946759	1.16321349306658e-143	1.33665474705908e-140
ENSG00000134107.5	8553	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	BHLHE40	840.295227133287	1.17566	0.0464611703352136	-25.3041360984404	2.87637647193727e-141	3.13999637559032e-138
ENSG00000101384.12	182	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	JAG1	1089.78730661875	1.12901	0.0446955071864062	-25.2599687586323	8.80142722969532e-141	9.15055050980656e-138
ENSG00000105220.17	2821	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	GPI	1728.69946484839	1.02224	0.0405667381504901	-25.1990790623986	4.09985970467954e-140	4.06873804237584e-137
ENSG00000163638.13	56999	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]	ADAMTS9	910.540961179731	1.30051	0.0523273587227889	-24.8533484629891	2.37907428346381e-136	2.2583621230811e-133
ENSG00000100234.11	7078	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	TIMP3	115.330407282012	-1.93542	0.0786155099707384	24.6188016039143	7.94673598688674e-134	7.22921195007076e-131
ENSG00000131981.16	3958	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	LGALS3	1662.54319218434	1.1147	0.0461429667134349	-24.1574712348567	6.2318761816348e-129	5.44242210694531e-126
ENSG00000143772.9	3707	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	ITPKB	335.555287282077	1.68707	0.0703973119499511	-23.9650205979665	6.44355474662297e-127	5.41085118396228e-124
ENSG00000099250.18	8829	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	NRP1	254.394449625873	2.46414	0.102943190127356	-23.9369347742763	1.26408279439664e-126	1.02217480185414e-123
ENSG00000161638.11	3678	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	ITGA5	219.606388626435	1.84186	0.0779935476261493	-23.615499550314	2.67133189725116e-123	2.08297104688159e-120
ENSG00000124942.14	79026	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	AHNAK	1332.66052231825	1.12185	0.0488108839445979	-22.9835564180422	6.80779654910144e-117	5.12533179505282e-114
ENSG00000187498.16	1282	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	COL4A1	2255.18478631364	0.937098	0.0408585533608655	-22.9351790254164	2.07154960527009e-116	1.50760475106206e-113
ENSG00000159399.9	3099	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	HK2	1022.84611151257	0.969152	0.0445192583809984	-21.7692790645258	4.53710449856202e-105	3.19543879087434e-102
ENSG00000041982.16	3371	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	TNC	1528.85638664426	1.00774	0.0463821511490036	-21.7269797112767	1.14062068467577e-104	7.78224106516439e-102
ENSG00000005884.18	3675	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	ITGA3	114.211018135721	2.3645	0.110601069505022	-21.378671891722	2.11050491093832e-101	1.39632284001565e-98
ENSG00000100311.17	5155	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	PDGFB	363.783134218754	1.88717	0.0890160995721605	-21.200328654582	9.48319278605885e-100	6.0896043558242e-97
ENSG00000059804.16	6515	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	SLC2A3	867.403037492305	1.21923	0.0576673750737576	-21.1425248216694	3.23310766682527e-99	2.0168125625656e-96
ENSG00000013588.8	9052	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	GPRC5A	42.0629056770302	4.24538	0.201695522679409	-21.0484704661746	2.36179243586692e-98	1.43236150700785e-95
ENSG00000156515.23	3098	hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]	HK1	1332.75643504714	0.925129	0.0441352909891797	-20.9612006049429	1.48299094886553e-97	8.75084902340031e-95
ENSG00000173548.8	257364	sorting nexin 33 [Source:HGNC Symbol;Acc:HGNC:28468]	SNX33	280.987917607007	1.29203	0.0619819801625601	-20.8452882660561	1.68192659940198e-96	9.66355353809038e-94
ENSG00000126785.13	57381	ras homolog family member J [Source:HGNC Symbol;Acc:HGNC:688]	RHOJ	1543.2575149993	-0.776504	0.0375704802324888	20.6679257746975	6.73490744903685e-95	3.7703393419185e-92
ENSG00000172893.15	1717	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	DHCR7	760.418965271472	1.3857	0.0675063972462456	-20.5269971897454	1.23579583597346e-93	6.74528262170216e-91
ENSG00000183018.9	124976	sphingolipid transporter 2 [Source:HGNC Symbol;Acc:HGNC:26992]	SPNS2	45.4817972654491	3.2735	0.159779512365303	-20.4876302961411	2.77578900183436e-93	1.47814149456219e-90
ENSG00000115461.5	3488	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	IGFBP5	5328.47633754234	1.04168	0.0516597779560317	-20.1643092021115	2.01541587836132e-90	1.02331569470378e-87
ENSG00000118257.16	8828	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	NRP2	1244.96369837569	0.879764	0.0436273138505194	-20.1654440617412	1.96970789550684e-90	1.02331569470378e-87
ENSG00000167772.12	51129	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	ANGPTL4	53.84016224699	6.63489	0.330877113643386	-20.0524339352926	1.92207696206433e-89	9.53743325289785e-87
